GeneName	GWAS	SNPs	Intergenic	Context
AC093433.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs113240734	1	intergenic_variant
AC093433.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12040629	1	regulatory_region_variant
AC093433.2	gwas_catalog:EFO_0004354;EFO_0005271;EFO_0007875;EFO_0007876_|_PubMedID:26955885;28604731;27992416	rs76681500	1	intergenic_variant
AC093496.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6794796	1	intergenic_variant
AC093515.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12445235	1	intergenic_variant
AC093577.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs11164855	1	regulatory_region_variant
AC093577.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs481214	1	intergenic_variant
AC093722.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs11721971	1	intergenic_variant
AC093817.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs9995419	0	intron_variant
AC093852.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs7686205	0	non_coding_transcript_exon_variant
AC093898.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565;30846698	rs2192528	1	intergenic_variant
AC093898.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4698678	1	intergenic_variant
AC094105.2	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs460692	1	intergenic_variant
AC095031.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs115578460	1	intergenic_variant
AC095050.1	gwas_catalog:EFO_0007875_|_PubMedID:30804565	rs28600082	1	intergenic_variant
AC095050.2	gwas_catalog:EFO_0007875_|_PubMedID:30804565	rs28600082	1	intergenic_variant
AC096719.1	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs56149312	0	intron_variant
AC096887.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs11715894	0	intron_variant
AC097515.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs56040212	0	intron_variant
AC097634.4	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs12487658	0	intron_variant
AC097634.4	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs17655548	0	intron_variant
AC097634.4	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs67000219	0	intron_variant
AC097634.4	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7626335	0	intron_variant
AC098679.4	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs115320831	1	intergenic_variant
AC099520.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs12055234	0	intron_variant
AC099520.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs40465	0	intron_variant
AC099520.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs77960	0	intron_variant
AC100781.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs75457814	1	intergenic_variant
AC100781.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9950528	1	intergenic_variant
AC100801.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1110275	0	intron_variant
AC100807.2	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs6990182	1	intergenic_variant
AC103881.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs35662245	1	intergenic_variant
AC103957.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2979139	1	intergenic_variant
AC104117.3	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs11741688	1	intergenic_variant
AC104339.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs17748165	1	intergenic_variant
AC104339.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7006885	1	intergenic_variant
AC104339.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72673588	1	intergenic_variant
AC104453.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs12567114	1	intergenic_variant
AC104453.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs2660302	1	regulatory_region_variant
AC104619.2	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs11721971	1	intergenic_variant
AC104633.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs17007397	1	intergenic_variant
AC104961.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs1013987	1	intergenic_variant
AC105052.5	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs4729854	0	intron_variant
AC105052.5	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs60984271	0	intron_variant
AC105393.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs28405493	1	intergenic_variant
AC106799.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs1185359	0	intron_variant
AC108046.1	gwas_catalog:EFO_0004354_|_PubMedID:26955885	rs148750727	1	intergenic_variant
AC108452.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9950528	1	intergenic_variant
AC108752.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs182765975	1	intergenic_variant
AC109131.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4859215	1	intergenic_variant
AC109131.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6443788	1	regulatory_region_variant
AC109361.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs143750764	0	intron_variant
AC110614.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs406952	0	intron_variant
AC110614.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6727752	0	intron_variant
AC110614.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs6744983	0	intron_variant
AC110772.2	gwas_catalog:EFO_0004354_|_PubMedID:26955885	rs148750727	1	intergenic_variant
AC110774.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10470887	1	intergenic_variant
AC110774.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs17285646	1	intergenic_variant
AC110774.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs35531607	1	regulatory_region_variant
AC110809.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4860734	0	intron_variant
AC112243.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs4276324	1	regulatory_region_variant
AC112778.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4634827	1	intergenic_variant
AC113346.2	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs11739656	0	intron_variant
AC114689.3	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs12606068	0	intron_variant
AC114763.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs12611523	0	intron_variant
AC115282.2	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs77191500	0	non_coding_transcript_exon_variant
AC115286.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs7524118	1	intergenic_variant
AC115286.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565;30846698	rs915416	1	TF_binding_site_variant
AC116003.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1025601	1	regulatory_region_variant
AC116611.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs190135744	1	intergenic_variant
AC117372.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11182930	1	intergenic_variant
AC117434.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs301218	1	intergenic_variant
AC125613.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs10937060	0	intron_variant
AC126177.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs4402351	1	intergenic_variant
AC126178.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4842509	1	intergenic_variant
AC126544.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs7502280	0	non_coding_transcript_exon_variant
AC127459.2	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs208626	1	intergenic_variant
AC129492.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1061032	0	3_prime_UTR_variant
AC129492.3	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30804565	rs2518022	0	intron_variant
AC129807.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4324483	0	intron_variant
AC130456.2	gwas_catalog:EFO_0005271_|_PubMedID:23728906	rs4780805	0	non_coding_transcript_exon_variant
AC130456.7	gwas_catalog:EFO_0005271_|_PubMedID:23728906	rs4780805	0	non_coding_transcript_exon_variant
AC130462.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72790386	0	intron_variant
AC135584.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1456038	1	intergenic_variant
AC135584.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7138306	1	intergenic_variant
AC138965.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs7735794	0	intron_variant
AC140847.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11833948	1	regulatory_region_variant
AC140847.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs7297799	1	intergenic_variant
AC242988.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10788872	1	intergenic_variant
AC245033.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs17507216	0	intron_variant
AC245033.2	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs17507216	0	intron_variant
ACTBP13	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs11712056	0	non_coding_transcript_exon_variant
ACTG1P22	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs11682175	0	intron_variant
ACTG1P22	gwas_catalog:EFO_0005271_|_PubMedID:27494321;27992416;28604731;30846698	rs1380703	1	intergenic_variant
ACYP2	gwas_catalog:EFO_0004354_|_PubMedID:27494321;28604731	rs1075265	0	intron_variant
ACYP2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs13414393	0	intron_variant
ADAM10	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4775086	0	intron_variant
ADAMTS14	gwas_catalog:EFO_0005271_|_PubMedID:23728906	rs10823607	0	missense_variant
ADAT2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9496623	0	intron_variant
ADCK1	gwas_catalog:EFO_0005271_|_PubMedID:30804565;30846698	rs11621908	1	regulatory_region_variant
ADCY3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11676272	0	missense_variant
ADCY3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6718511	0	intron_variant
ADCY5	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6799356	0	intron_variant
ADCY5	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs72966564	0	intron_variant
ADGRL3	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30804565	rs28634184	0	intron_variant
ADH5P2	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs11588913	1	intergenic_variant
ADH5P2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs17416934	1	intergenic_variant
AEN	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs8024058	0	splice_region_variant
AF279873.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs12541362	0	intron_variant
AF279873.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4739403	1	intergenic_variant
AF279873.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6993892	0	intron_variant
AF279873.3	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs7001604	0	intron_variant
AF279873.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7459675	0	intron_variant
AF279873.4	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7459675	0	intron_variant
AHSA2P	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2600667	0	non_coding_transcript_exon_variant
AJAP1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs909757	0	3_prime_UTR_variant
AK5	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs10493596	1	intergenic_variant
AK5	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10873936	0	intron_variant
AK5	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12030598	0	intron_variant
AK5	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs7547493	0	intron_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11526064	1	intergenic_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs11610973	1	intergenic_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2048061	1	intergenic_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7314457	1	intergenic_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9705901	1	intergenic_variant
AK6P1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9739706	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11180986	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11495590	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs11520042	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1283298	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs1733410	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs2197308	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4436614	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4882315	1	intergenic_variant
AK6P2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs8189580	1	intergenic_variant
AKAIN1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs62082401	0	intron_variant
AKAIN1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs62082402	0	intron_variant
AKAIN1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs974552	0	intron_variant
AKAP9	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs76775274	0	intron_variant
AL008987.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs5969701	1	intergenic_variant
AL022334.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs28459838	1	intergenic_variant
AL022334.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs28580373	1	intergenic_variant
AL031005.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs12752290	1	intergenic_variant
AL031674.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs74555583	1	intergenic_variant
AL033504.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs9399613	0	intron_variant
AL034417.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs138267314	0	intron_variant
AL035410.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs9429539	1	intergenic_variant
AL049693.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs734597	1	intergenic_variant
AL049828.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs11157143	1	intergenic_variant
AL080315.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6935086	1	intergenic_variant
AL080315.2	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6935086	1	intergenic_variant
AL109837.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs113179280	1	intergenic_variant
AL109837.3	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs113179280	1	intergenic_variant
AL109931.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs5969701	1	intergenic_variant
AL121821.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs61990287	0	intron_variant
AL121852.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs79903896	0	intron_variant
AL121932.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs34556183	1	regulatory_region_variant
AL121992.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs59948050	0	intron_variant
AL121992.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs77576965	0	intron_variant
AL132719.1	gwas_catalog:EFO_0004354_|_PubMedID:26835600	rs35099116	1	intergenic_variant
AL133166.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs10483350	0	intron_variant
AL133245.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs11678584	1	intergenic_variant
AL133325.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6047481	1	intergenic_variant
AL133457.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs9345234	1	intergenic_variant
AL133457.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs9362971	1	intergenic_variant
AL135878.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs10483350	0	intron_variant
AL135923.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs10976942	1	intergenic_variant
AL135923.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs34340407	1	intergenic_variant
AL137785.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs1014894	1	intergenic_variant
AL138720.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1811899	0	intron_variant
AL138752.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4878734	0	intron_variant
AL138778.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs12025393	1	intergenic_variant
AL139003.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs495593	1	intergenic_variant
AL139022.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs55658675	0	intron_variant
AL157700.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs73536079	1	intergenic_variant
AL157709.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs1750785	1	intergenic_variant
AL157709.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs497338	1	regulatory_region_variant
AL158011.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2378824	1	intergenic_variant
AL158038.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9571526	1	intergenic_variant
AL158050.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs3857599	1	intergenic_variant
AL158050.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs6904450	1	intergenic_variant
AL158064.1	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs9531006	0	intron_variant
AL158069.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs12844850	1	regulatory_region_variant
AL158151.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10988239	0	intron_variant
AL158151.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs13289026	0	intron_variant
AL158151.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs28365587	0	intron_variant
AL159156.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs2321993	1	intergenic_variant
AL159158.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823;30804565	rs61963491	1	intergenic_variant
AL160290.2	gwas_catalog:EFO_0005271_|_PubMedID:30804565;30846698	rs7915425	1	intergenic_variant
AL161713.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs10149448	1	intergenic_variant
AL161910.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs10797119	0	intron_variant
AL161910.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs3138490	0	non_coding_transcript_exon_variant
AL161941.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2760545	1	intergenic_variant
AL161941.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6131805	0	intron_variant
AL161941.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30804565	rs78095690	0	intron_variant
AL161945.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs74555583	1	intergenic_variant
AL162171.3	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs6575012	0	non_coding_transcript_exon_variant
AL162726.3	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs11139851	1	intergenic_variant
AL162726.3	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4565536	0	intron_variant
AL162726.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs555784	0	intron_variant
AL163642.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4550384	1	intergenic_variant
AL163932.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs710284	1	intergenic_variant
AL353072.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4657983	1	intergenic_variant
AL353135.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs2231265	0	non_coding_transcript_exon_variant
AL353709.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4657983	1	intergenic_variant
AL353778.1	gwas_catalog:EFO_0004354;EFO_0008328_|_PubMedID:26835600;30696823	rs78743131	1	regulatory_region_variant
AL353811.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2844016	0	intron_variant
AL354741.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9558942	1	intergenic_variant
AL354821.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2860457	1	intergenic_variant
AL354821.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4884166	1	intergenic_variant
AL354821.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs9597241	1	intergenic_variant
AL354821.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs9597250	1	intergenic_variant
AL355310.3	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs17575798	0	synonymous_variant
AL355310.3	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs41279738	0	5_prime_UTR_variant
AL355347.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs1931814	0	intron_variant
AL355674.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs62550819	1	intergenic_variant
AL355674.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs62553781	1	intergenic_variant
AL355674.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72742394	1	intergenic_variant
AL356124.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs9321171	0	intron_variant
AL356498.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs13284938	1	intergenic_variant
AL356580.1	gwas_catalog:EFO_0005271_|_PubMedID:25469926	rs9517132	1	intergenic_variant
AL357075.4	gwas_catalog:EFO_0008328_|_PubMedID:32579418	rs7764996	0	intron_variant
AL357632.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs5016898	1	regulatory_region_variant
AL358944.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs605765	0	intron_variant
AL358972.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9347926	1	intergenic_variant
AL358972.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs9365769	1	intergenic_variant
AL359508.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs76518095	1	intergenic_variant
AL359511.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs947088	1	intergenic_variant
AL359649.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs1163628	1	intergenic_variant
AL359813.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2396004	0	intron_variant
AL359976.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs34580810	1	intergenic_variant
AL359987.1	gwas_catalog:EFO_0005271_|_PubMedID:30846698	rs9345234	1	intergenic_variant
AL359987.1	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs9362971	1	intergenic_variant
AL365259.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs34172167	1	regulatory_region_variant
AL390755.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs16854	0	intron_variant
AL390755.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs9521597	0	intron_variant
AL390800.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs11157143	1	intergenic_variant
AL391095.2	gwas_catalog:EFO_0007875_|_PubMedID:28604731	rs6099524	0	intron_variant
AL391869.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs76518095	1	intergenic_variant
AL445218.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6702412	1	intergenic_variant
AL445228.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2378824	1	intergenic_variant
AL450332.1	gwas_catalog:EFO_0005271_|_PubMedID:27126917	rs34172167	1	regulatory_region_variant
AL450345.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9347926	1	intergenic_variant
AL450345.2	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs9365769	1	intergenic_variant
AL451165.1	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs3842139	1	regulatory_region_variant
AL451165.2	gwas_catalog:EFO_0004354_|_PubMedID:30120083	rs3842139	1	regulatory_region_variant
AL512303.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4557564	1	intergenic_variant
AL512303.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370;30696823	rs60616179	1	intergenic_variant
AL512427.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9476310	0	intron_variant
AL512604.3	gwas_catalog:EFO_0005271_|_PubMedID:30804565;30846698	rs10973207	1	TF_binding_site_variant
AL512604.4	gwas_catalog:EFO_0008328_|_PubMedID:30696823;30804565	rs2291589	0	non_coding_transcript_exon_variant
AL513124.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs62550819	1	intergenic_variant
AL513124.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs62553781	1	intergenic_variant
AL513124.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs72742394	1	intergenic_variant
AL513124.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs77598468	1	regulatory_region_variant
AL513523.2	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs6665637	1	TF_binding_site_variant
AL589647.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2742986	1	intergenic_variant
AL589647.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs72828533	1	intergenic_variant
AL589647.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs72828540	1	intergenic_variant
AL589647.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs9465253	1	intergenic_variant
AL589740.1	gwas_catalog:EFO_0005271_|_PubMedID:30531941	rs112477743	0	intron_variant
AL589740.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs12195792	0	intron_variant
AL589740.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs9375352	0	intron_variant
AL590609.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs2506089	1	regulatory_region_variant
AL590867.1	gwas_catalog:EFO_0008328_|_PubMedID:30595370	rs3877930	0	intron_variant
AL592431.1	gwas_catalog:EFO_0007875_|_PubMedID:27992416	rs192315283	0	intron_variant
AL606845.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs4535583	1	intergenic_variant
AL645568.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs148137538	0	intron_variant
AL645939.6	gwas_catalog:EFO_0005271_|_PubMedID:30804565	rs1633063	0	intron_variant
AL672207.1	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs7060620	1	intergenic_variant
AL731571.1	gwas_catalog:EFO_0008328_|_PubMedID:30804565	rs4962716	0	non_coding_transcript_exon_variant
AL807761.4	gwas_catalog:EFO_0008328_|_PubMedID:30696823	rs10759208	0	intron_variant
